index,nombre,sector,precio,area,habitaciones,banos,parqueadero,codigoSector,acabados,tipoAcabados
1,Excelente Casa de Renta en Una de Las Mejores Urbanizaciones en Cumbaya!,Cumbayá,1300000,1000,4,4,5.0,14,1213,3
7,Venta Casa de Lujo de 700 m² con 3 Dorm. Sector Cumbayá,Cumbayá,1700000,700,3,4,2.0,14,1665,3
10,Casa en Conjunto Cerrado por El Rancho San Francisco,Cumbayá,340000,380,3,3,3.0,14,288,1
19,Casa con Locales Comerciales de Oportunidad en Av Diego de Vásquez,Ponceano,225000,575,3,3,2.0,7,201,1
21,"Scala Shopping, Casa 4 Dorm., Piscina, Promocion $289.000",Cumbayá,289000,340,4,3,2.0,14,254,1
23,"Casa de Lujo Dentro de Urbanización, Cumbayá Sector La Viña",Cumbayá,349000,350,3,3,2.0,14,314,2
27,Venta. Casa. Cumbaya. Patio. Terraza.,Cumbayá,221000,275,3,2,2.0,14,186,1
34,"Hermosa Casa, 5 Dorm., Diseño Moderno Dentro de Urbanización!",Cumbayá,950000,1250,5,6,3.0,14,898,3
44,Casa de Lujo 3 Dorm. Sector Cumbayá,Cumbayá,595000,480,3,4,7.0,14,474,2
46,Hermosas Casas Santa Ines Casa - Cumbayá,Cumbayá,399999,223,3,4,2.0,14,365,2
50,Hermosa Casa con Vista de Venta en El Corazón de Cumbaya,Cumbayá,1100000,1500,4,4,6.0,14,996,3
58,Hermosa Casa Sector Rancho San Francisco,Cumbayá,370000,419,3,3,4.0,14,301,2
64,"San Patricio, Espectacular Casa a Estrenar, 4 Dorm. $482.000",Cumbayá,482000,651,4,4,4.0,14,413,2
68,"Oportunidad, Cumbaya, Scala Shopping, Casa 2 Plantas; 4 Dorm. $365.000",Cumbayá,365000,626,4,4,4.0,14,296,1
69,Venta Casa en Cumbaya Sector Colegio Aleman,Cumbayá,550000,570,5,4,4.0,14,481,2
75,Casa en Venta Totalmente Remodelada en Ponciano Alto,Ponceano,209000,350,5,3,10.0,7,90,1
76,Cumbaya Venta de Casa Dentro de Conjunto con Piscina Cerca a La Ruta Viva!,Cumbayá,278000,306,3,2,2.0,14,243,1
86,Casa de Venta Puembo 3 Dorm. en Urbanización,Puembo,335000,368,4,4,2.0,13,303,2
88,Vendo Hermosa Casa Ponceano Norte de Quito,Ponceano,120000,150,3,2,2.0,7,96,1
89,Espectacular Casa Intervalles,Cumbayá,840000,1000,4,4,4.0,14,771,2
90,Se Vende Exclusiva y Moderna de 175 m en San Juan de Cumbaya de Tres Dorm.,Cumbayá,213000,222,3,2,2.0,14,178,1
91,Hermosa Casa Intervalles,Cumbayá,445000,650,3,3,2.0,14,410,2
98,"Hermosa Casa Ponceano 146 m², Patio y Jardín, Esquinera",Ponceano,110000,147,3,2,2.0,7,86,1
100,"Cumbaya, Precio Oportunidad, Casa Estilo Clásico en Una Sola Planta, $650.000",Cumbayá,650000,1630,4,3,4.0,14,581,2
